"","name","longitude","latitude"
"176","Clangula hyemalis",-70.22368,41.5442
"177","Clangula hyemalis",-70.38455,41.49387
"178","Clangula hyemalis",-70.06722,41.47971
"179","Clangula hyemalis",-70.06406,41.44233
"180","Clangula hyemalis",-70.171,41.376
"181","Clangula hyemalis",-70.14481,41.47363
"182","Clangula hyemalis",-70.06696,41.47772
"183","Clangula hyemalis",-70.08966,41.58254
"184","Clangula hyemalis",-70.0626,41.58342
"185","Clangula hyemalis",-70.3362,41.54503
"186","Clangula hyemalis",-70.14117,41.39947
"187","Clangula hyemalis",-70.11644,41.4407
"188","Clangula hyemalis",-70.11466,41.54271
"189","Clangula hyemalis",-70.27242,41.46297
"190","Clangula hyemalis",-70.22368,41.5442
"191","Clangula hyemalis",-70.08942,41.58931
"192","Clangula hyemalis",-70.41664,41.38384
"193","Clangula hyemalis",-70.08452,41.43723
"194","Clangula hyemalis",-70.27632,41.35643
"195","Clangula hyemalis",-70.22535,41.48358
"196","Clangula hyemalis",-70.23145,41.38401
"197","Clangula hyemalis",-70.115,41.54668
"198","Clangula hyemalis",-70.09068,41.5054
"199","Clangula hyemalis",-70.11565,41.40784
"200","Clangula hyemalis",-70.09048,41.48652
"201","Clangula hyemalis",-70.09072,41.5
"202","Clangula hyemalis",-70.38184,41.42147
"203","Clangula hyemalis",-70.2005,41.46782
"204","Clangula hyemalis",-70.25084,41.46428
"205","Clangula hyemalis",-70.30981,41.3617
"206","Clangula hyemalis",-70.18886,41.48847
"207","Clangula hyemalis",-70.28296,41.36956
"208","Clangula hyemalis",-70.061,41.59769
"209","Clangula hyemalis",-70.08548,41.45436
"210","Clangula hyemalis",-70.33499,41.39461
"211","Clangula hyemalis",-70.14555,41.57558
"212","Clangula hyemalis",-70.23058,41.35094
"213","Clangula hyemalis",-70.26908,41.41656
"214","Clangula hyemalis",-70.11767,41.36445
"215","Clangula hyemalis",-70.13963,41.51392
"216","Clangula hyemalis",-70.36028,41.38149
"217","Clangula hyemalis",-70.03356,41.48959
"218","Clangula hyemalis",-70.0904,41.47118
"219","Clangula hyemalis",-70.11528,41.52688
"220","Clangula hyemalis",-70.38232,41.44989
"221","Clangula hyemalis",-70.08847,41.36961
"222","Clangula hyemalis",-70.22881,41.37947
"223","Clangula hyemalis",-70.06012,41.52884
"224","Clangula hyemalis",-70.30769,41.39347
"225","Clangula hyemalis",-70.0889,41.57523
"226","Clangula hyemalis",-70.11567,41.49832
"227","Clangula hyemalis",-70.27128,41.45232
"228","Clangula hyemalis",-70.24923,41.49493
"229","Clangula hyemalis",-70.17361,41.36237
"230","Clangula hyemalis",-70.38359,41.42975
"231","Clangula hyemalis",-70.23006,41.36518
"232","Clangula hyemalis",-70.38879,41.55545
"233","Clangula hyemalis",-70.14268,41.56115
"234","Clangula hyemalis",-70.35879,41.51934
"235","Clangula hyemalis",-70.25316,41.52307
"236","Clangula hyemalis",-70.08701,41.41826
"237","Clangula hyemalis",-70.18712,41.50706
"238","Clangula hyemalis",-70.06335,41.48827
"239","Clangula hyemalis",-70.3313,41.39051
"240","Clangula hyemalis",-70.28001,41.56843
"241","Clangula hyemalis",-70.07433,41.39106
"242","Clangula hyemalis",-70.35984,41.40528
"243","Clangula hyemalis",-70.3624,41.34641
"244","Clangula hyemalis",-70.06428,41.43504
"245","Clangula hyemalis",-70.22564,41.47232
"246","Clangula hyemalis",-70.38567,41.3817
"247","Clangula hyemalis",-70.22508,41.55273
"248","Clangula hyemalis",-70.06493,41.37294
"249","Clangula hyemalis",-70.22572,41.52665
"250","Clangula hyemalis",-70.3316,41.37812
"251","Clangula hyemalis",-70.08769,41.5699
"252","Clangula hyemalis",-70.03265,41.57137
"253","Clangula hyemalis",-70.38492,41.39448
"254","Clangula hyemalis",-70.11536,41.52424
"255","Clangula hyemalis",-70.36198,41.46546
"256","Clangula hyemalis",-70.0872,41.55372
"257","Clangula hyemalis",-70.36133,41.50943
"258","Clangula hyemalis",-70.14057,41.48952
"259","Clangula hyemalis",-70.11277,41.54015
"260","Clangula hyemalis",-70.0333,41.48431
"261","Clangula hyemalis",-70.13937,41.52214
"262","Clangula hyemalis",-70.33395,41.53456
"263","Clangula hyemalis",-70.08707,41.55822
"264","Clangula hyemalis",-70.26557,41.35452
"265","Clangula hyemalis",-70.3037,41.34085
"266","Clangula hyemalis",-70.11819,41.47964
"267","Clangula hyemalis",-70.18935,41.48069
"268","Clangula hyemalis",-70.1982,41.35807
"269","Clangula hyemalis",-70.08366,41.59409
"270","Clangula hyemalis",-70.17648,41.5644
"271","Clangula hyemalis",-70.06008,41.60424
"272","Clangula hyemalis",-70.06248,41.585
"273","Clangula hyemalis",-70.26572,41.36527
"274","Clangula hyemalis",-70.06458,41.56049
"275","Clangula hyemalis",-70.36398,41.40946
"276","Clangula hyemalis",-70.33803,41.34744
"277","Clangula hyemalis",-70.03389,41.53428
"278","Clangula hyemalis",-70.33578,41.53975
"279","Clangula hyemalis",-70.3797,41.35984
"280","Clangula hyemalis",-70.1971,41.40607
"281","Clangula hyemalis",-70.36452,41.40101
"282","Clangula hyemalis",-70.061,41.54918
"283","Clangula hyemalis",-70.02514,41.57172
"284","Clangula hyemalis",-70.11975,41.4028
"285","Clangula hyemalis",-70.06213,41.5089
"286","Clangula hyemalis",-70.06492,41.55842
